A=3963 B=8842 C=8687 X=409495541 Y=7293148889 Z=69968178871 M=172
A=5619 B=7340 C=9967 X=294184624 Y=2180513244 Z=79033007662 M=168
A=7091 B=6809 C=8576 X=451316478 Y=5083584456 Z=75461336471 M=132
A=6986 B=7754 C=7425 X=757283512 Y=6808223862 Z=34941686102 M=85
A=9456 B=7652 C=8565 X=979905517 Y=5198120313 Z=89655367929 M=145
A=6408 B=3375 C=9204 X=167783992 Y=7153984590 Z=92427049931 M=163
A=5763 B=6148 C=9274 X=279889725 Y=9964940531 Z=70350391483 M=107
A=8547 B=3879 C=6951 X=378902964 Y=2470752240 Z=41679149795 M=164
A=9030 B=7546 C=9608 X=362501898 Y=4119049939 Z=34688334048 M=63
A=6606 B=3185 C=7598 X=989305093 Y=8605576905 Z=51083739654 M=75
A=6638 B=6554 C=9533 X=454809416 Y=9071666311 Z=84656936473 M=153
A=5935 B=6809 C=7923 X=466741209 Y=3713819811 Z=67566769458 M=82
A=4142 B=3634 C=8916 X=533140627 Y=2195880417 Z=63200440973 M=155
A=6744 B=6198 C=6326 X=537074856 Y=6435636287 Z=37528504509 M=187
A=4239 B=4620 C=7151 X=462984355 Y=5222077949 Z=15395506154 M=128
A=6828 B=3182 C=6966 X=496586089 Y=7568408954 Z=19431263615 M=154
A=9989 B=3481 C=5907 X=513706785 Y=7730898126 Z=95604573977 M=187
A=3705 B=7381 C=9078 X=944788648 Y=3774196339 Z=94727056559 M=109
A=6519 B=8081 C=6652 X=515939261 Y=7364208903 Z=76245157293 M=119
A=6783 B=3628 C=6785 X=612616358 Y=2730449251 Z=43338128854 M=119
A=5754 B=4424 C=9976 X=455602255 Y=3399840701 Z=39884578932 M=58
A=7329 B=5584 C=9481 X=765182920 Y=1848910508 Z=45635859967 M=136
A=6519 B=3508 C=5784 X=715678818 Y=9372223394 Z=26437577265 M=148
A=4079 B=8159 C=7501 X=806798900 Y=3775959987 Z=13667259165 M=171
A=5610 B=8246 C=9431 X=876328126 Y=3062507221 Z=76968043190 M=192
A=8793 B=7191 C=8651 X=507531146 Y=1481324914 Z=10641325001 M=140
A=3474 B=4504 C=6865 X=153892044 Y=1499530230 Z=23327074226 M=148
A=2283 B=7236 C=6691 X=349591700 Y=5648605259 Z=52789615621 M=193
A=5353 B=7290 C=8351 X=904035360 Y=1079381894 Z=32939365470 M=151
A=3335 B=3714 C=9424 X=490506342 Y=3864608302 Z=22684283111 M=193
A=6639 B=4126 C=6774 X=303155063 Y=8058444773 Z=51242239037 M=140
A=5939 B=8415 C=7647 X=864474320 Y=7501144894 Z=16280658244 M=158
A=7462 B=5382 C=6626 X=507130448 Y=5725528199 Z=64532140016 M=189
A=7292 B=9734 C=9202 X=249977263 Y=9609502439 Z=18773414989 M=151
A=4252 B=6928 C=7069 X=520151955 Y=5022079447 Z=17156955195 M=168
A=6024 B=9247 C=8017 X=691392384 Y=2452486474 Z=98856856289 M=188
A=3965 B=6464 C=7846 X=890087137 Y=1960036667 Z=58084547133 M=117
A=3493 B=4567 C=5429 X=385555783 Y=9048831860 Z=95579371679 M=132
A=6806 B=3897 C=6437 X=760150394 Y=7972134501 Z=88248014690 M=178
A=5943 B=7880 C=9482 X=796170662 Y=8924797876 Z=68139919278 M=77
A=4792 B=6913 C=7409 X=184894441 Y=4869520047 Z=27653781346 M=166
